Datetime,Frequency (kHz),Capacitance (nF),Resistance (kΩ)
2024-02-28 19:44:39,0.0,0.0,9.796612
2024-02-28 19:44:39,30.303028,0.0,9.796612
2024-02-28 19:44:39,30.303028,10.56,9.796612
2024-02-28 19:44:39,30.303028,10.56,9.581743
2024-02-28 19:44:40,28.708132,10.56,9.581743
2024-02-28 19:44:40,28.708132,11.146668,9.581743
2024-02-28 19:44:40,28.708132,11.146668,9.701564
2024-02-28 19:44:40,28.436016,11.146668,9.701564
2024-02-28 19:44:40,28.436016,11.253334,9.701564
2024-02-28 19:44:40,28.436016,11.253334,9.851715
2024-02-28 19:44:40,30.150752,11.253334,9.851715
2024-02-28 19:44:40,30.150752,10.613334,9.851715
2024-02-28 19:44:41,30.150752,10.613334,9.901858
2024-02-28 19:44:41,30.150752,10.613334,9.901858
2024-02-28 19:44:41,30.150752,10.613334,9.901858
2024-02-28 19:44:41,30.150752,10.613334,9.422392
2024-02-28 19:44:41,28.84615,10.613334,9.422392
2024-02-28 19:44:41,28.84615,11.093334,9.422392
2024-02-28 19:44:41,28.84615,11.093334,9.422392
2024-02-28 19:44:41,28.84615,11.093334,9.422392
2024-02-28 19:44:42,28.84615,11.093334,9.422392
2024-02-28 19:44:42,30.303028,11.093334,9.422392
2024-02-28 19:44:42,30.303028,10.56,9.422392
2024-02-28 19:44:42,30.150752,10.56,9.422392
2024-02-28 19:44:42,30.150752,10.613334,9.422392
2024-02-28 19:44:42,28.84615,10.613334,9.422392
2024-02-28 19:44:42,28.84615,11.093334,9.422392
2024-02-28 19:44:42,30.150752,11.093334,9.422392
2024-02-28 19:44:43,30.150752,10.613334,9.422392
2024-02-28 19:44:43,30.150752,10.613334,9.422392
2024-02-28 19:44:43,30.150752,10.613334,9.422392
2024-02-28 19:44:43,30.150752,10.613334,9.422392
2024-02-28 19:44:43,30.150752,10.613334,9.601692
2024-02-28 19:44:43,28.708132,10.613334,9.601692
2024-02-28 19:44:43,28.708132,11.146668,9.601692
2024-02-28 19:44:44,28.708132,11.146668,9.781592
2024-02-28 19:44:44,30.303028,11.146668,9.781592
2024-02-28 19:44:44,30.303028,10.56,9.781592
2024-02-28 19:44:44,30.303028,10.56,9.906874
2024-02-28 19:44:44,30.456858,10.56,9.906874
2024-02-28 19:44:44,30.456858,10.506668,9.906874
2024-02-28 19:44:44,30.456858,10.506668,9.786596
2024-02-28 19:44:44,30.150752,10.506668,9.786596
2024-02-28 19:44:45,30.150752,10.613334,9.786596
2024-02-28 19:44:45,30.150752,10.613334,9.606684
2024-02-28 19:44:45,28.84615,10.613334,9.606684
2024-02-28 19:44:45,28.84615,11.093334,9.606684
2024-02-28 19:44:45,28.84615,11.093334,9.786596
2024-02-28 19:44:45,30.0,11.093334,9.786596
2024-02-28 19:44:45,30.0,10.666668,9.786596
2024-02-28 19:44:45,30.0,10.666668,9.796612
