Datetime,Frequency (kHz),Capacitance (nF),Resistance (kOhm)
2024-02-29 12:54:47,0.332926,0.0,0.0
2024-02-29 12:54:47,0.332926,961.17344,0.0
2024-02-29 12:54:47,0.332115,961.17344,0.0
2024-02-29 12:54:47,0.332115,963.51992,0.0
2024-02-29 12:54:47,0.329724,963.51992,0.0
2024-02-29 12:54:47,0.329724,970.50664,0.0
2024-02-29 12:54:48,0.330578,970.50664,0.0
2024-02-29 12:54:48,0.330578,968.0,0.0
2024-02-29 12:54:48,0.333834,968.0,0.0
2024-02-29 12:54:48,0.333834,958.56,0.0
2024-02-29 12:54:48,0.331162,958.56,0.0
2024-02-29 12:54:48,0.331162,966.29344,0.0
2024-02-29 12:54:49,0.333518,966.29344,0.0
2024-02-29 12:54:49,0.333518,959.4668,0.0
2024-02-29 12:54:49,0.330778,959.4668,0.0
2024-02-29 12:54:49,0.330778,967.41344,0.0
2024-02-29 12:54:49,0.332373,967.41344,0.0
2024-02-29 12:54:49,0.332373,962.77344,0.0
2024-02-29 12:54:49,0.332428,962.77344,0.0
2024-02-29 12:54:50,0.332428,962.61344,0.0
2024-02-29 12:54:50,0.331381,962.61344,0.0
2024-02-29 12:54:50,0.331381,965.65344,0.0
2024-02-29 12:54:50,0.332594,965.65344,0.0
2024-02-29 12:54:50,0.332594,962.13344,0.0
2024-02-29 12:54:50,0.332852,962.13344,0.0
2024-02-29 12:54:50,0.332852,961.38672,0.0
2024-02-29 12:54:51,0.332446,961.38672,0.0
2024-02-29 12:54:51,0.332446,962.56,0.0
2024-02-29 12:54:51,0.333018,962.56,0.0
2024-02-29 12:54:51,0.333018,960.90664,0.0
2024-02-29 12:54:51,0.331693,960.90664,0.0
2024-02-29 12:54:51,0.331693,964.74672,0.0
2024-02-29 12:54:52,0.33217,964.74672,0.0
2024-02-29 12:54:52,0.33217,963.36,0.0
2024-02-29 12:54:52,0.333148,963.36,0.0
2024-02-29 12:54:52,0.333148,960.53344,0.0
2024-02-29 12:54:52,0.333889,960.53344,0.0
2024-02-29 12:54:52,0.333889,958.4,0.0
2024-02-29 12:54:52,0.335064,958.4,0.0
2024-02-29 12:54:53,0.335064,955.04,0.0
2024-02-29 12:54:53,0.330997,955.04,0.0
2024-02-29 12:54:53,0.330997,966.77344,0.0
2024-02-29 12:54:53,0.330997,966.77344,0.0
2024-02-29 12:54:53,0.330997,966.77344,0.0
2024-02-29 12:54:53,0.332483,966.77344,0.0
2024-02-29 12:54:53,0.332483,962.45344,0.0
2024-02-29 12:54:54,0.334728,962.45344,0.0
2024-02-29 12:54:54,0.334728,956.0,0.0
2024-02-29 12:54:54,0.334354,956.0,0.0
2024-02-29 12:54:54,0.334354,957.06672,0.0
2024-02-29 12:54:54,0.33337,957.06672,0.0
2024-02-29 12:54:54,0.33337,959.89328,0.0
2024-02-29 12:54:55,0.331729,959.89328,0.0
2024-02-29 12:54:55,0.331729,964.63992,0.0
2024-02-29 12:54:55,0.332428,964.63992,0.0
2024-02-29 12:54:55,0.332428,962.61344,0.0
2024-02-29 12:54:55,0.333203,962.61344,0.0
2024-02-29 12:54:55,0.333203,960.37344,0.0
2024-02-29 12:54:55,0.331913,960.37344,0.0
2024-02-29 12:54:56,0.331913,964.10664,0.0
2024-02-29 12:54:56,0.332262,964.10664,0.0
2024-02-29 12:54:56,0.332262,963.09344,0.0
2024-02-29 12:54:56,0.332409,963.09344,0.0
2024-02-29 12:54:56,0.332409,962.66664,0.0
2024-02-29 12:54:56,0.332631,962.66664,0.0
2024-02-29 12:54:56,0.332631,962.0268,0.0
2024-02-29 12:54:57,0.33184,962.0268,0.0
2024-02-29 12:54:57,0.33184,964.32,0.0
2024-02-29 12:54:57,0.334746,964.32,0.0
2024-02-29 12:54:57,0.334746,955.94672,0.0
2024-02-29 12:54:57,0.332097,955.94672,0.0
2024-02-29 12:54:57,0.332097,963.57344,0.0
2024-02-29 12:54:58,0.334019,963.57344,0.0
2024-02-29 12:54:59,0.334019,958.0268,0.0
2024-02-29 12:54:59,0.33195,958.0268,0.0
2024-02-29 12:54:59,0.33195,964.0,0.0
2024-02-29 12:54:59,0.332354,964.0,0.0
2024-02-29 12:54:59,0.332354,962.8268,0.0
2024-02-29 12:54:59,0.332889,962.8268,0.0
2024-02-29 12:54:59,0.332889,961.28,0.0
2024-02-29 12:55:00,0.332852,961.28,0.0
2024-02-29 12:55:00,0.332852,961.38672,0.0
2024-02-29 12:55:00,0.336209,961.38672,0.0
2024-02-29 12:55:00,0.336209,951.78664,0.0
