Datetime,Frequency (kHz),Capacitance (nF),Resistance (kOhm)
2024-02-28 20:41:18,0.331601,0.0,0.0
2024-02-28 20:41:19,0.331601,965.01328,0.0
2024-02-28 20:41:19,0.325238,965.01328,0.0
2024-02-28 20:41:19,0.325238,983.89328,0.0
2024-02-28 20:41:19,0.322684,983.89328,0.0
2024-02-28 20:41:19,0.322684,991.68,0.0
2024-02-28 20:41:19,0.320975,991.68,0.0
2024-02-28 20:41:19,0.320975,996.96024,0.0
2024-02-28 20:41:20,0.320718,996.96024,0.0
2024-02-28 20:41:20,0.320718,997.76,0.0
2024-02-28 20:41:20,0.326299,997.76,0.0
2024-02-28 20:41:20,0.326299,980.69344,0.0
2024-02-28 20:41:20,0.326228,980.69344,0.0
2024-02-28 20:41:20,0.326228,980.90672,0.0
2024-02-28 20:41:21,0.325344,980.90672,0.0
2024-02-28 20:41:21,0.325344,983.57344,0.0
2024-02-28 20:41:21,0.334224,983.57344,0.0
2024-02-28 20:41:21,0.334224,957.44,0.0
2024-02-28 20:41:21,0.332409,957.44,0.0
2024-02-28 20:41:21,0.332409,962.66664,0.0
2024-02-28 20:41:21,0.335927,962.66664,0.0
2024-02-28 20:41:22,0.335927,952.58672,0.0
2024-02-28 20:41:22,0.333185,952.58672,0.0
2024-02-28 20:41:22,0.333185,960.4268,0.0
2024-02-28 20:41:22,0.333425,960.4268,0.0
2024-02-28 20:41:22,0.333425,959.73344,0.0
2024-02-28 20:41:22,0.328084,959.73344,0.0
2024-02-28 20:41:22,0.328084,975.36,0.0
2024-02-28 20:41:23,0.326939,975.36,0.0
2024-02-28 20:41:23,0.326939,978.77344,0.0
2024-02-28 20:41:23,0.325732,978.77344,0.0
2024-02-28 20:41:23,0.325732,982.4,0.0
2024-02-28 20:41:24,0.333129,982.4,0.0
2024-02-28 20:41:24,0.333129,960.58672,0.0
2024-02-28 20:41:24,0.333148,960.58672,0.0
2024-02-28 20:41:24,0.333148,960.53344,0.0
2024-02-28 20:41:25,0.332115,960.53344,0.0
2024-02-28 20:41:25,0.332115,963.51992,0.0
2024-02-28 20:41:25,0.324939,963.51992,0.0
2024-02-28 20:41:25,0.324939,984.8,0.0
2024-02-28 20:41:25,0.321216,984.8,0.0
2024-02-28 20:41:25,0.321216,996.21344,0.0
2024-02-28 20:41:25,0.320889,996.21344,0.0
2024-02-28 20:41:26,0.320889,997.2268,0.0
2024-02-28 20:41:26,0.317645,997.2268,0.0
2024-02-28 20:41:26,0.317645,1007.4134,0.0
2024-02-28 20:41:26,0.323939,1007.4134,0.0
2024-02-28 20:41:26,0.323939,987.83992,0.0
2024-02-28 20:41:26,0.324306,987.83992,0.0
2024-02-28 20:41:26,0.324306,986.72,0.0
2024-02-28 20:41:27,0.325821,986.72,0.0
2024-02-28 20:41:27,0.325821,982.13328,0.0
2024-02-28 20:41:27,0.333908,982.13328,0.0
2024-02-28 20:41:27,0.333908,958.34648,0.0
2024-02-28 20:41:27,0.333425,958.34648,0.0
2024-02-28 20:41:27,0.333425,959.73344,0.0
2024-02-28 20:41:28,0.333111,959.73344,0.0
2024-02-28 20:41:28,0.333111,960.64024,0.0
2024-02-28 20:41:28,0.336172,960.64024,0.0
2024-02-28 20:41:28,0.336172,951.89328,0.0
2024-02-28 20:41:28,0.332133,951.89328,0.0
2024-02-28 20:41:28,0.332133,963.46672,0.0
2024-02-28 20:41:28,0.331674,963.46672,0.0
2024-02-28 20:41:29,0.331674,964.8,0.0
2024-02-28 20:41:29,0.329416,964.8,0.0
2024-02-28 20:41:29,0.329416,971.41328,0.0
2024-02-28 20:41:29,0.326868,971.41328,0.0
2024-02-28 20:41:29,0.326868,978.98672,0.0
2024-02-28 20:41:29,0.320119,978.98672,0.0
2024-02-28 20:41:29,0.320119,999.62664,0.0
